"id","video_id","time_seconds","timestamp","analysis_second","rel_net_change","rel_max_positive_diff","rel_sum_of_abs_diff","abs_db_mean","abs_db_max","abs_db_min","created_at","updated_at","inter_mean_delta","inter_max_delta","inter_min_delta","dynamic_range","norm_mean","smooth_mean","is_peak","is_silent"
3576,8,0,"00:00:00",1,73.40588,40.79493,166.58736,-112.560845,-77.97913,-197.97575,2025/05/06 4:35:24.495,2025/05/06 4:35:24.495,,,,119.9966,0,-112.5608,0,1
3577,8,1,"00:00:01",1,4.57153,10.285926,31.64163,-86.5216028,-81.02004,-95.05001,2025/05/06 4:35:24.496,2025/05/06 4:35:24.496,26.03924,3.04091,102.9257,14.02997,0,-99.54122,0,1
3578,8,2,"00:00:02",1,-0.108260000000001,41.69315,227.33625,-131.2629655,-86.384705,-199.9987,2025/05/06 4:35:24.497,2025/05/06 4:35:24.497,44.74136,5.364665,104.9487,113.614,0,-110.1151,0,1
3579,8,3,"00:00:03",1,26.425746,21.29259,49.758422,-81.228101,-70.207016,-107.28905,2025/05/06 4:35:24.498,2025/05/06 4:35:24.498,50.03487,16.17769,92.70965,37.08204,0,-99.67089,0,1
3580,8,4,"00:00:04",1,-19.00622,7.556045,48.43267,-87.4524285,-79.00906,-110.59996,2025/05/06 4:35:24.499,2025/05/06 4:35:24.499,6.224328,8.802044,3.31091,31.5909,0,-99.98116,0,1
3581,8,5,"00:00:05",1,5.29041000000001,40.88052,231.35937,-119.8377446,-76.78853,-189.82301,2025/05/06 4:35:24.499,2025/05/06 4:35:24.499,32.38531,2.22053,79.22305,113.0345,0,-96.17276,0,1
3582,8,6,"00:00:06",1,5.0386,8.60456000000001,30.47851,-75.3426125,-68.8837,-85.30804,2025/05/06 4:35:24.500,2025/05/06 4:35:24.500,44.49513,7.90483,104.515,16.42434,0,-94.21093,0,1
3583,8,7,"00:00:07",1,4.86,10.26939,29.79755,-76.0663045,-70.111725,-82.41307,2025/05/06 4:35:24.501,2025/05/06 4:35:24.501,0.723692,1.228025,2.89497,12.30134,0,-90.41555,0,1
3584,8,8,"00:00:08",1,8.46374400000001,4.857686,27.801884,-73.905581,-67.407196,-80.47726,2025/05/06 4:35:24.501,2025/05/06 4:35:24.501,2.160723,2.704529,1.93581,13.07006,0,-75.10484,0,1
3585,8,9,"00:00:09",1,-7.07368,4.075265,22.07461,-69.3569405,-64.92526,-76.90199,2025/05/06 4:35:24.502,2025/05/06 4:35:24.502,4.548641,2.481936,3.57527,11.97673,0,-73.10961,0,1
3586,8,10,"00:00:10",1,0.959909999999994,5.311795,31.93279,-80.8260404,-76.06283,-86.99632,2025/05/06 4:35:24.502,2025/05/06 4:35:24.502,11.4691,11.13757,10.09433,10.93349,0,-74.69619,0,1
（省略）
4526,8,950,"00:15:50",1,-21.2742045,0,21.2742045,1.0034853,10.832824,-10.4413805,2025/05/06 4:35:25.767,2025/05/06 4:35:25.767,5.999621,2.28374,5.19223,21.2742,0.9652188,-8.119126,1,0
4527,8,951,"00:15:51",1,-13.782217,3.35371,22.444129,-27.776492,-15.525003,-33.638176,2025/05/06 4:35:25.767,2025/05/06 4:35:25.767,28.77998,26.35783,23.1968,18.11317,0.5370585,-6.589967,0,0
4528,8,952,"00:15:52",1,4.506443,6.93359999999999,39.239741,-44.3419918,-30.48222,-52.355312,2025/05/06 4:35:25.768,2025/05/06 4:35:25.768,16.5655,14.95722,18.71714,21.87309,0.2609668,-23.705,0,0
4529,8,953,"00:15:53",1,-28.629231,0,28.629231,-42.8364568,-25.742039,-54.37127,2025/05/06 4:35:25.769,2025/05/06 4:35:25.769,1.505535,4.740181,2.015958,28.62923,0.2860591,-38.31831,0,0
4530,8,954,"00:15:54",1,3.643842,2.88272,14.011082,-51.1947627,-46.33423,-54.941082,2025/05/06 4:35:25.769,2025/05/06 4:35:25.769,8.358306,20.59219,0.569812,8.606852,0.146754,-46.1244,0,0
4531,8,955,"00:15:55",1,12.773162,6.948585,25.546802,-55.1723367,-41.558388,-60.71837,2025/05/06 4:35:25.770,2025/05/06 4:35:25.770,3.977574,4.775842,5.777288,19.15998,0.08340699,-49.73452,0,0
4532,8,956,"00:15:56",1,40.3136112,7.499413,40.3136112,-9.809070351,6.2530212,-34.06059,2025/05/06 4:35:25.770,2025/05/06 4:35:25.770,45.36327,47.81141,26.65778,40.31361,0.8152128,-38.72539,1,0
4533,8,957,"00:15:57",1,-3.1911526,2.599418,13.1081806,8.43782964,10.945736,3.1833484,2025/05/06 4:35:25.771,2025/05/06 4:35:25.771,18.2469,4.692715,37.24394,7.762388,1,-18.84786,1,0
4534,8,958,"00:15:58",1,-21.41091134,2.571697,27.95205334,-12.748498296,0.77338034,-20.638172,2025/05/06 4:35:25.772,2025/05/06 4:35:25.772,21.18633,10.17236,23.82152,21.41155,0.786236,-4.70658,1,0
4535,8,959,"00:15:59",1,-18.964909,5.06829,29.101489,-35.4857569,-22.783861,-46.81706,2025/05/06 4:35:25.772,2025/05/06 4:35:25.772,22.73726,23.55724,26.17889,24.0332,0.4085707,-13.26548,0,0
4536,8,960,"00:16:00",1,-21.354014,0.867706999999996,24.375646,-56.074765,-39.285076,-60.63909,2025/05/06 4:35:25.773,2025/05/06 4:35:25.773,20.58901,16.50121,13.82203,21.35401,0.06695549,-34.76967,0,0
4537,8,961,"00:16:01",1,3.07617,2.186472,12.385522,-62.917516,-59.87341,-66.258736,2025/05/06 4:35:25.774,2025/05/06 4:35:25.774,6.842751,20.58833,5.619646,6.385326,0.0002109846,-51.49268,0,1
4538,8,962,"00:16:02",1,-2.70678599999999,0.761141999999999,5.86875999999999,-60.2595028,-58.885544,-62.056202,2025/05/06 4:35:25.775,2025/05/06 4:35:25.775,2.658013,0.987866,4.202534,3.170658,0.005209611,-59.7506,0,1
4539,8,963,"00:16:03",1,10.221665,9.1165,21.439985,-60.4598312,-49.556725,-64.79821,2025/05/06 4:35:25.775,2025/05/06 4:35:25.775,0.2003284,9.328819,2.742008,15.24148,0.02133769,-61.21228,0,0
4540,8,964,"00:16:04",1,-16.79719,1.076328,21.016246,-57.7448771,-43.60148,-62.508198,2025/05/06 4:35:25.775,2025/05/06 4:35:25.775,2.714954,5.955245,2.290012,18.90672,0.05172913,-59.48807,0,0
4541,8,965,"00:16:05",1,3.090084,1.685968,7.09428400000001,-56.6274327,-54.29991,-59.392094,2025/05/06 4:35:25.776,2025/05/06 4:35:25.776,1.117444,10.69843,3.116104,5.092184,0.05620945,-58.27738,0,1
4542,8,966,"00:16:06",1,16.052495,6.230145,24.446661,-52.2060785,-38.697433,-58.728745,2025/05/06 4:35:25.777,2025/05/06 4:35:25.777,4.421354,15.60248,0.663349,20.03131,0.1298987,-55.52613,0,0
4543,8,967,"00:16:07",1,24.06463,5.79176,24.4980976,-12.41815752,-3.7812862,-28.06265,2025/05/06 4:35:25.777,2025/05/06 4:35:25.777,39.78792,34.91615,30.6661,24.28136,0.7930307,-40.41722,0,0
4544,8,968,"00:16:08",1,-7.4925702,0.667841999999998,11.1433742,-11.62901398,-6.1059628,-13.598533,2025/05/06 4:35:25.778,2025/05/06 4:35:25.778,0.7891436,2.324677,14.46412,7.49257,0.8061831,-25.41775,0,0
4545,8,969,"00:16:09",1,19.2976777,8.756561,52.3306977,-20.5295746,0.1270047,-35.687183,2025/05/06 4:35:25.779,2025/05/06 4:35:25.779,8.90056,6.232967,22.08865,35.81419,0.6576288,-14.85892,1,0
4546,8,970,"00:16:10",1,5.599169,1.8868144,6.367293,8.60262045,10.372296,4.722284,2025/05/06 4:35:25.779,2025/05/06 4:35:25.779,29.13219,10.24529,40.40947,5.650012,1,-7.851989,1,0
4547,8,971,"00:16:11",1,-33.789994,0,33.789994,-7.46437217,8.457436,-25.332558,2025/05/06 4:35:25.780,2025/05/06 4:35:25.780,16.06699,1.91486,30.05484,33.78999,0.8480463,-6.463776,1,0
4548,8,972,"00:16:12",1,-6.418494,4.002694,17.500154,-31.1401613,-24.481955,-35.28033,2025/05/06 4:35:25.780,2025/05/06 4:35:25.780,23.67579,32.93939,9.947772,10.79838,0.4809973,-10.00064,0,0
4549,8,973,"00:16:13",1,15.004008,2.99468,18.856838,-16.3271085,-9.008957,-25.93938,2025/05/06 4:35:25.781,2025/05/06 4:35:25.781,14.81305,15.473,9.34095,16.93042,0.7278816,-18.31055,0,0
4550,8,974,"00:16:14",1,14.3974126,4.410685,15.6477806,-8.40763974,-1.3224204,-15.719833,2025/05/06 4:35:25.782,2025/05/06 4:35:25.782,7.919469,7.686537,10.21955,14.39741,0.8598727,-18.62497,1,0
4551,8,975,"00:16:15",1,-19.76143046,2.30796774,27.51715954,-2.366917462,3.931394,-19.707901,2025/05/06 4:35:25.782,2025/05/06 4:35:25.782,6.040722,5.253814,3.988068,23.6393,0.9331106,-9.033889,1,0
4552,8,976,"00:16:16",1,13.1881975,7.6427785,32.6547335,-4.943842194,2.4109275,-20.510538,2025/05/06 4:35:25.783,2025/05/06 4:35:25.783,2.576925,1.520466,0.802637,22.92146,0.906945,-5.239467,1,0
4553,8,977,"00:16:17",1,9.7606602,5.082808,19.474746,-6.424949913,-0.4966479,-15.114351,2025/05/06 4:35:25.783,2025/05/06 4:35:25.783,1.481108,2.907575,5.396187,14.6177,0.8929175,-4.57857,1,0
4554,8,978,"00:16:18",1,-34.4855616,0,34.4855616,-18.80904784,-3.9217334,-38.407295,2025/05/06 4:35:25.785,2025/05/06 4:35:25.785,12.3841,3.425086,23.29294,34.48556,0.6865159,-10.05928,0,0
4555,8,979,"00:16:19",1,17.401556,10.541646,44.592732,-37.9544972,-22.8613,-46.146606,2025/05/06 4:35:25.786,2025/05/06 4:35:25.786,19.14545,18.93957,7.739311,23.28531,0.3674251,-21.06283,0,0
4556,8,980,"00:16:20",1,23.516162,5.288969,23.516162,-0.12089839,8.021702,-15.49446,2025/05/06 4:35:25.787,2025/05/06 4:35:25.787,37.8336,30.883,30.65215,23.51616,0.9487388,-18.96148,1,0
4557,8,981,"00:16:21",1,-23.719974,0.600380999999999,24.920736,0.526532796,10.020245,-14.30011,2025/05/06 4:35:25.788,2025/05/06 4:35:25.788,0.6474312,1.998543,1.19435,24.32035,0.9405067,-12.51629,1,0
4558,8,982,"00:16:22",1,-25.727295,0,25.727295,-31.5704179,-18.3498,-44.077095,2025/05/06 4:35:25.789,2025/05/06 4:35:25.789,32.09695,28.37004,29.77699,25.72729,0.4738264,-10.38826,0,0
4559,8,983,"00:16:23",1,6.56199,3.133332,14.79744,-41.3490025,-37.93029,-44.49228,2025/05/06 4:35:25.790,2025/05/06 4:35:25.791,9.778584,19.58049,0.415185,6.56199,0.31085,-24.13096,0,0
4560,8,984,"00:16:24",1,9.699068,7.024681,17.874836,-27.9882152,-25.483587,-35.182655,2025/05/06 4:35:25.791,2025/05/06 4:35:25.791,13.36079,12.4467,9.309625,9.699068,0.5335298,-33.63588,0,0
4561,8,985,"00:16:25",1,7.272761,1.93989,9.336813,-18.192754,-15.10647,-23.411257,2025/05/06 4:35:25.793,2025/05/06 4:35:25.793,9.795462,10.37712,11.7714,8.304787,0.6967874,-29.17666,0,0
4562,8,986,"00:16:26",1,-19.737748,1.369371,24.806844,-23.9425966,-14.822344,-37.09464,2025/05/06 4:35:25.793,2025/05/06 4:35:25.793,5.749843,0.284126,13.68338,22.2723,0.6009567,-23.37452,0,0
4563,8,987,"00:16:27",1,27.128122,7.319879,27.612376,-26.56535765,-12.315424,-39.443546,2025/05/06 4:35:25.794,2025/05/06 4:35:25.794,2.622761,2.50692,2.348906,27.12812,0.5572441,-22.90024,0,0
